analyte_key,abbrev,name_en,name_local,panel,evidence_tier,ucum_canonical,loinc_code,loinc_verified
anti-CCP,Anti-CCP,Anti-Cyclic Citrullinated Peptide Antibodies,Антитела к циклическому цитруллинированному пептиду,AUTOIMMUNE,C,,,
RF,RF,Rheumatoid Factor,RF (аббревиатура),AUTOIMMUNE,C,,,
Basophils/BASO/базофилы,BASO# / BASO% / BAS,Basophils,Базофилы,CBC,C,,,
Eosinophils/EO/эозинофилы,EO# / EO% / EOS,Eosinophils,Эозинофилы,CBC,C,,,
ESR (СОЭ - скорость оседания эритроцитов),ESR,Erythrocyte Sedimentation Rate,СОЭ (скорость оседания эритроцитов),CBC,C,mm/h,4537-7,0
Zinco Eritrocitário,RBC Zn,Erythrocyte Zinc,Цинк в эритроцитах,CBC,C,,,
Heamatocrit /HCT гематокрит,HCT,Hematocrit,Гематокрит,CBC,C,%,4544-3,0
Hemoglobin/HGB/гемоглобин,HGB / Hb,Hemoglobin,Гемоглобин,CBC,C,g/L,718-7,0
IRF,IRF,Immature Reticulocyte Fraction,IRF,CBC,C,,,
LFR,LFR,Low Fluorescence Ratio (RET),LFR,CBC,C,,,
Lymphocytes/LYMPH/лимфоциты,LYMPH# / LYMPH% / LYM,Lymphocytes,Лимфоциты,CBC,C,,,
MCH/среднее содержание гемоглобина в эритроците,MCH,Mean Corpuscular Hemoglobin,Среднее содержание Hb в эритроците,CBC,C,,,
"MCHC/средняя концентрация гемоглобина в эритроцитарной массе, а не в цельной крови",MCHC,Mean Corpuscular Hemoglobin Concentration,Средняя концентрация Hb в эритроцитах,CBC,C,,,
MCV/Средний объем эритроцита,MCV,Mean Corpuscular Volume,Средний объем эритроцита,CBC,C,,,
MPV / средний объем тромбоцитов,MPV,Mean Platelet Volume,MPV,CBC,C,,,
MFR,MFR,Medium Fluorescence Ratio (RET),MFR,CBC,C,,,
MXD#,MXD#,Mixed Cell Count (Absolute),MXD#,CBC,C,,,
MXD%,MXD%,Mixed Cell Count (Percentage),MXD%,CBC,C,,,
Monocytes/MONO/моноциты,MONO# / MONO% / MON,Monocytes,Моноциты,CBC,C,,,
Neutrophils/NUET/NEUT%.нейтрофилы,NEUT# / NEUT% / NEU,Neutrophils / Neutrophil %,Нейтрофилы (абс./%),CBC,C,,,
NEUT#,NEUT#,Neutrophils – Absolute Count,Нейтрофилы (абсолютное значение),CBC,C,,,
NRBC/Ядросодержащие эритроциты,NRBC,Nucleated Red Blood Cells,Ядросодержащие эритроциты,CBC,C,,,
PDW,PDW,Platelet Distribution Width,PDW,CBC,C,,,
P-LCR/процент крупных тромбоцитов,P-LCR,Platelet Large Cell Ratio,P-LCR,CBC,C,,,
PCT/Прокальцитонин,PCT,Plateletcrit,PCT,CBC,C,,,
Platelet/PLTтромбоциты,PLT,Platelets,Тромбоциты,CBC,C,10*9/L,777-3,0
RCC/ Эритроциты/RBS,RBC / RCC,Red Blood Cells,Эритроциты,CBC,C,10*12/L,789-8,0
RBC / эритроциты,RBC,Red Blood Cells,Эритроциты,CBC,C,10*12/L,789-8,0
RDW/ширина распределения эритроцитов,RDW,Red Cell Distribution Width,Ширина распределения эритроцитов,CBC,C,,,
RDW – CV /ширина распределения эритроцитов,RDW-CV,Red Cell Distribution Width – CV,RDW-CV,CBC,C,,,
RDW-CV,RDW-CV,Red Cell Distribution Width – Coefficient of Variation,RDW-CV,CBC,C,,,
RDW-SD/ширина распределения эритроцитов (стандартное отклонение),RDW-SD,Red Cell Distribution Width – SD,RDW-SD,CBC,C,,,
RDW-SD,RDW-SD,Red Cell Distribution Width – Standard Deviation,RDW-SD,CBC,C,,,
RET-He,RET-He,Reticulocyte Hemoglobin Content,RET-He,CBC,C,,,
RET/Ретикулоциты:,RET,Reticulocytes,Ретикулоциты,CBC,C,,,
WBC /лейкоциты,WBC,White Blood Cells,Лейкоциты,CBC,C,,,
White Blood Cells,WBC,White Blood Cells,Белые клетки крови,CBC,C,,,
Total WCC/гемоглобин WCC,WBC,White Cell Count / Total WBC,Лейкоциты (общее число),CBC,C,10*9/L,6690-2,0
Calcium (Adjuste),adj.Ca²⁺,Adjusted Calcium,Кальций скорректированный,ELECTROLYTES,C,,,
Bicarbonate/Бикарбонат,HCO₃⁻,Bicarbonate,Бикарбонат,ELECTROLYTES,C,,,
Calcium (Serum),Ca²⁺,Calcium (Serum),Кальций сыворотка,ELECTROLYTES,C,,,
Chloride/CI-хлор в сыворотке,Cl⁻,Chloride,Хлор,ELECTROLYTES,C,mmol/L,2075-0,0
Clorémia,Cl⁻,Chloride,Хлор,ELECTROLYTES,C,mmol/L,2075-0,0
Erythrocyte Magnesium,RBC Mg / Mg²⁺ (RBC),Erythrocyte Magnesium,Магний в эритроцитах,ELECTROLYTES,C,,,
Phosphate/фосфат,PO₄³⁻,Phosphate,Фосфат,ELECTROLYTES,C,,,
Potassium/-калий,K⁺,Potassium,Калий,ELECTROLYTES,C,mmol/L,2823-3,0
Kaliémia,K⁺,Potassium,Калий,ELECTROLYTES,C,mmol/L,2823-3,0
Sodium/Na+натрий,Na⁺,Sodium,Натрий,ELECTROLYTES,C,mmol/L,2951-2,0
